accession,title,description
PF02536.17,mTERF,This family contains one sequence of known function Human mitochondrial transcription termination factor (mTERF) the rest of the family consists of hypothetical proteins none of which have any functional information. mTERF is a multizipper protein possessing three putative leucine zippers one of which is bipartite. The protein binds DNA as a monomer. The leucine zippers are not implicated in a dimerisation role as in other leucine zippers.
PF01426.21,BAH domain,This domain has been called BAH (Bromo adjacent homology) domain and has also been called ELM1 and BAM (Bromo adjacent motif) domain. The function of this domain is unknown but may be involved in protein-protein interaction.
PF00412.25,LIM domain,This family represents two copies of the LIM structural domain.
PF00069.28,Protein kinase domain,"Hanks SK, Quinn AM; , Methods Enzymol 1991;200:38-62.: Protein kinase catalytic domain sequence database: identification of conserved features of primary structure and classification of family members. PUBMED:1956325 EPMC:1956325"
PF00102.30,Protein-tyrosine phosphatase,"Hof P, Pluskey S, Dhe-Paganon S, Eck MJ, Shoelson SE; , Cell 1998;92:441-450.: Crystal structure of the tyrosine phosphatase SHP-2. PUBMED:9491886 EPMC:9491886"
PF13181.9,Tetratricopeptide repeat,"The tetratrico peptide repeat region (TPR) is a structural motif present in a wide range of proteins [ PUBMED:7667876 , PUBMED:9482716 , PUBMED:1882418 ]. It mediates protein-protein interactions and the assembly of multiprotein complexes"
PF00004.32,ATPase family associated with various cellular activities (AAA),"AAA family proteins often perform chaperone-like functions that assist in the assembly, operation, or disassembly of protein complexes."
PF01926.26,50S ribosome-binding GTPase,"The full-length GTPase protein is required for the complete activity of the protein of interacting with the 50S ribosome and binding of both adenine and guanine nucleotides, with a preference for guanine nucleotide."
PF11900.11,Domain of unknown function (DUF3420),This presumed domain is functionally uncharacterised. This domain is found in eukaryotes. This domain is about 50 amino acids in length. This domain is found associated with PF00023.
PF00696.31,Amino acid kinase family,"This family includes kinases that phosphorylate a variety of amino acid substrates, as well as uridylate kinase and carbamate kinase. This family includes: Aspartokinase EC:2.7.2.4, P00561. Acetylglutamate kinase EC:2.7.2.8, Q07905. Glutamate 5-kinase EC:2.7.2.11, P07005. Uridylate kinase EC:2.7.4.-, P29464. Carbamate kinase EC:2.7.2.2, O96432."
PF13523.9,Acetyltransferase (GNAT) domain,This domain catalyses N-acetyltransferase reactions.
PF18264.4,CXC domain,This domain is found to the N-terminus of the SET domain in the EZH2 protein. It is a zinc binding domain.ED L9LD52.1/505-536;
PF03634.16,TCP family transcription factor,"This is a family of TCP plant transcription factors. TCP proteins were named after the first characterised members (TB1, CYC and PCFs) and they are involved in multiple developmental control pathways. This region contains a DNA binding basic-Helix-Loop-Helix (bHLP) structure."
PF02201.21,SWIB/MDM2 domain,This family includes the SWIB domain and the MDM2 domain. The p53-associated protein (MDM2) is an inhibitor of the p53 tumour suppressor gene binding the transactivation domain and down regulating the ability of p53 to activate transcription. This family contains the p53 binding domain of MDM2.
PF06732.14,Pescadillo N-terminus,"This family represents the N-terminal region of Pescadillo. Pescadillo protein localises to distinct substructures of the interphase nucleus including nucleoli, the site of ribosome biogenesis. During mitosis pescadillo closely associates with the periphery of metaphase chromosomes and by late anaphase is associated with nucleolus-derived foci and prenucleolar bodies. Blastomeres in mouse embryos lacking pescadillo arrest at morula stages of development, the nucleoli fail to differentiate and accumulation of ribosomes is inhibited. It has been proposed that in mammalian cells pescadillo is essential for ribosome biogenesis and nucleologenesis and that disruption to its function results in cell cycle arrest. This family is often found in conjunction with a PF00533 domain."
PF05129.16,Transcription elongation factor Elf1 like,This family of short proteins contains a putative zinc binding domain with four conserved cysteines. P36053 has been identified as a transcription elongation factor in Saccharomyces cerevisiae.
PF01937.22,Damage-control phosphatase ARMT1-like domain,"This domain is widely distributed in all domains of life and occur in stand-alone form and as C-terminal fusions to pantothenate kinase (PanK) in plants and animals. They are metal-dependent phosphatases involved in metabolic damage-control processes termed ""damage pre-emption"" or ""housecleaning"". S.cerevisiae Damage-control phosphatase YMR027W and the human orthologue Damage-control phosphatase ARMT1 (also known as C6orf211) are involved in response to DNA damage, a damage pre-emption function. Crystal structure of Damage-control phosphatase At2g17340 from Arabidopsis revealed a novel protein fold and several conserved residues coordinating a metal ion (probably Mg2+), which exhibits a high degree of conservation, suggesting that the metal-binding site is central for the function."
PF07749.15,"Endoplasmic reticulum protein ERp29, C-terminal domain","ERp29 is a ubiquitously expressed endoplasmic reticulum protein found in mammals. ERp29 is comprised of two domains. This domain, the C-terminal domain, has an all helical fold. ERp29 is thought to form part of the thyroglobulin folding complex."
PF00013.32,KH domain,"KH motifs bind RNA in vitro. Autoantibodies to Nova, a KH domain protein, cause paraneoplastic opsoclonus ataxia."
PF07521.15,Zn-dependent metallo-hydrolase RNA specificity domain,"The metallo-beta-lactamase fold contains five sequence motifs. The first four motifs are found in PF00753 and are common to all metallo-beta-lactamases. This, the fifth motif appears to be specific to Zn-dependent metallohydrolases such as ribonuclease J 2 which are involved in the processing of mRNA [2,3]. This domain adds essential structural elements to the CASP-domain and is unique to RNA/DNA-processing nucleases, showing that they are pre-mRNA 3-end-processing endonucleases [2,3,4]."
PF06293.17,Lipopolysaccharide kinase (Kdo/WaaP) family,These lipopolysaccharide kinases are related to protein kinases PF00069. This family includes waaP (rfaP) gene product is required for the addition of phosphate to O-4 of the first heptose residue of the lipopolysaccharide (LPS) inner core region. It has previously been shown that WaaP is necessary for resistance to hydrophobic and polycationic antimicrobials in E. coli and that it is required for virulence in invasive strains of S. enterica.
